year,pop.n,pop.ex,pop.tot,births.n
1975,201544,356343,557887,
1980,290544,751555,1042099,14162
1985,396114,983189,1379303,17768
1990,,,,
1995,587330,1823711,2411041,20338
2000,,,,
2005,825495,3280932,4106427,28022
2010,947997,7316073,8264070,32303
